ICHI code	Title	Index term	Include note	Action flag	Expanded index with include note	Warning	Comments	Original full index terms	Original full include notes			Flag	Delete index term	Review index term									Original Title	Original index term
AAA.AD.AE	Percutaneous biopsy of brain							Biopsy of brain via neuroendoscopy; Closed biopsy of brain; Needle biopsy of brain; Trephine biopsy of brain; Biopsy of brain via stereotactic localisation					FALSE	FALSE									Percutaneous biopsy of brain	
		Biopsy of brain via neuroendoscopy		I									FALSE	FALSE										Biopsy of brain via neuroendoscopy
		Closed biopsy of brain		S									FALSE	FALSE										Closed biopsy of brain
		Needle biopsy of brain		I									FALSE	FALSE										Needle biopsy of brain
		Trephine biopsy of brain		I									FALSE	FALSE										Trephine biopsy of brain
		Biopsy of brain via stereotactic localisation		I									FALSE	FALSE										Biopsy of brain via stereotactic localisation
AAA.AF.AH	Electroencephalography, not elsewhere classified							EEG; EEG response to challenges; Electrocorticography; Electroencephalogram; Intermittent light stimulation; Mapping of brain; Cortical mapping of brain; EEG response to pharmacological challenge; EEG response to prolonged hyperventilation; Electroencephalography NOS					FALSE	FALSE									Electroencephalography, not elsewhere classified	
		EEG		S									FALSE	FALSE										EEG
		EEG response to challenges		I									FALSE	FALSE										EEG response to challenges
		Electrocorticography		I									FALSE	FALSE										Electrocorticography
		Electroencephalogram		S									FALSE	FALSE										Electroencephalogram
		Intermittent light stimulation		I									FALSE	FALSE										Intermittent light stimulation
		Mapping of brain		I									FALSE	FALSE										Mapping of brain
		Cortical mapping of brain		I									FALSE	FALSE										Cortical mapping of brain
		EEG response to pharmacological challenge		I									FALSE	FALSE										EEG response to pharmacological challenge
		EEG response to prolonged hyperventilation		I									FALSE	FALSE										EEG response to prolonged hyperventilation
		Electroencephalography, NOS		D									TRUE	FALSE										Electroencephalography NOS
AAA.AF.BO	Magnetoelectroencephalography							MEG; MEG monitoring					FALSE	FALSE									Magnetoelectroencephalography	
		MEG		S									FALSE	FALSE										MEG
		MEG monitoring		I									FALSE	FALSE										MEG monitoring
AAA.AI.AA	Electroencephalography monitoring via burr holes							EEG via open approach; Electroencephalography monitoring via open approach					FALSE	FALSE									Electroencephalography monitoring via burr holes	
		EEG via open approach		I									FALSE	FALSE										EEG via open approach
		Electroencephalography monitoring via open approach		I									FALSE	FALSE										Electroencephalography monitoring via open approach
AAA.AI.AH	Electroencephalography monitoring							EEG; EEG Holter monitoring; EEG monitoring					FALSE	FALSE									Electroencephalography monitoring	
		EEG		D									TRUE	FALSE										EEG
		EEG Holter monitoring		I									FALSE	FALSE										EEG Holter monitoring
		EEG monitoring		S									FALSE	FALSE										EEG monitoring
AAA.AI.BL	Video or radio-telemetered electroencephalography monitoring							Video EEG monitoring					FALSE	FALSE									Video or radio-telemetered electroencephalography monitoring	
		Video EEG monitoring		I									FALSE	FALSE										Video EEG monitoring
AAA.BA.BA	Encephalography							Pneumoencephalogram					FALSE	FALSE									Encephalography	
		Pneumoencephalogram		I									FALSE	FALSE										Pneumoencephalogram
AAA.BA.BB	Other contrast radiogram of brain							Pneumoventriculogram; Posterior fossa myelogram					FALSE	FALSE									Other contrast radiogram of brain	
		Pneumoventriculogram		I									FALSE	FALSE										Pneumoventriculogram
		Posterior fossa myelogram		I									FALSE	FALSE										Posterior fossa myelogram
AAA.BA.BC	Computerised tomography of brain, not elsewhere classified							Cerebral scan, NOS; CT brain NOS					FALSE	FALSE									Computerised tomography of brain, not elsewhere classified	
		Cerebral scan, NOS		I									FALSE	FALSE										Cerebral scan, NOS
		CT brain, NOS		S									FALSE	FALSE										CT brain NOS
AAA.BA.BD	Computerised tomography of brain with intravenous contrast medium							Cerebral scan with IV contrast; CT brain with IV contrast					FALSE	FALSE									Computerised tomography of brain with intravenous contrast medium	
		Cerebral scan with IV contrast		I									FALSE	FALSE										Cerebral scan with IV contrast
		CT brain with IV contrast		S									FALSE	FALSE										CT brain with IV contrast
AAA.BA.BF	Single photon emission computerised tomography of brain							Cerebral SPECT; SPECT of brain					FALSE	FALSE									Single photon emission computerised tomography of brain	
		Cerebral SPECT		I									FALSE	FALSE										Cerebral SPECT
		SPECT of brain		S									FALSE	FALSE										SPECT of brain
AAA.BA.BG	Positron emission tomography of brain							PET scan of brain					FALSE	FALSE									Positron emission tomography of brain	
		PET scan of brain		S									FALSE	FALSE										PET scan of brain
AAA.BA.BH	Magnetic resonance imaging of brain, not elsewhere classified							Intraoperative magnetic resonance imaging brain NOS; MRI brain, NOS					FALSE	FALSE									Magnetic resonance imaging of brain, not elsewhere classified	
		Intraoperative magnetic resonance imaging brain, NOS		I									FALSE	FALSE										Intraoperative magnetic resonance imaging brain NOS
		MRI brain, NOS		S									FALSE	FALSE										MRI brain, NOS
AAA.BA.BI	Magnetic resonance imaging of brain with intravenous contrast							Intraoperative magnetic resonance imaging brain with IV contrast; MRI brain with IV contrast					FALSE	FALSE									Magnetic resonance imaging of brain with intravenous contrast	
		Intraoperative magnetic resonance imaging brain with IV contrast		I									FALSE	FALSE										Intraoperative magnetic resonance imaging brain with IV contrast
		MRI brain with IV contrast		S									FALSE	FALSE										MRI brain with IV contrast
AAA.BA.BJ	Ultrasound of brain							Echoencephalography; Intracranial ultrasound; Transcranial ultrasound					FALSE	FALSE									Ultrasound of brain	
