1 - Diagnostic	AA	Assessment	"Evaluating a health condition, functioning, environment, behaviour, or need for intervention."	Analysis; Detection; Evaluation; 	measurement (AB)\nmonitoring (AI)\ntest (AC)	
1 - Diagnostic	AB	Measurement	"Quantitative determination of characteristics of body parts, body functions, activities or environmental factors using units of measurement (kilogram, radian, joule, litre etc)"	"Measurement of length, mass, pressure, temperature, time, voltage, volume; "	test (AC); mapping (AF); monitoring (AI)	
1 - Diagnostic	AC	Test	"Performing a specific review or examination using a questionnaire, rating scale or other instrument"	Provocation test; Standardised test battery; 	measurement (AB)	
1 - Diagnostic	AD	Biopsy	Removing and directly examining tissue or biological element from the body	Biopsy by incision; Biopsy by open operation; Endoscopic biopsy; Percutaneous needle biopsy; Punch biopsy; Superficial smears; 	specimen collection (AH)	
1 - Diagnostic	AE	Inspection	"Exploring a body part by visual, olfactory, acoustic or tactile means"	Auscultation; Endoscopy; Exploration; Exploratory laparotomy; Fluoroscopy; Laparoscopy; Palpation; Review (surgical exploration); 	observation (AM)	
1 - Diagnostic	AF	Mapping	"Tracing or following pathways of electrical impulses, metabolic  or blood flow changes/distribution"	Functional imaging; 		
1 - Diagnostic	AH	Specimen collection	"The obtaining of specimens of body fluids, secretions, or excreta, including blood, cells, faeces, sputum, urine"		"obtaining a tissue sample, see Biopsy (AD)"	
1 - Diagnostic	AI	Monitoring	"Continuous acquisition of information to evaluate a health condition, functioning, environment, behaviour or situation over a defined period"	Blood pressure 24 hour monitoring \nHolter EKG; Prolonged EEG;	public health surveillance (VC); using a test (AC) or administrating test in a given time (periodically) e.g. administrating WHODAS	
1 - Diagnostic	AM	Observation	"Visual acquisition of information (not continuous) to evaluate a health condition, functioning, environment, behaviour or situation"	Aural acquisition of information; 	inspection (AE)\nmonitoring (AI)	
1 - Diagnostic	AN	Interview	Conducting a conversation in which a person is asked questions in order to obtain information on a particular topic		Test (AC)	
1 - Diagnostic	BA	Imaging	Production of a clinical image using techniques such as radiography and ultrasound.			
2 - Therapeutic	DA	Alimentation	Administering nutritional requirements			
2 - Therapeutic	DB	Application of substance	administering agents through various routes	Chemotherapy; External applications; Infusions; Injections; Pharmaceutical agents; 	"anaesthesia (DC); anaesthesia done by acupuncture, see acupuncture (SP); destruction (GA); haemostasis (LA); irrigation (JA); nutritional substances (DA)"	
2 - Therapeutic	DC	Anaesthesia	"General or local loss of sensation, due to pharmacological or pathological suppression of nerve function."		application of other pharmaceutical (DB)	
2 - Therapeutic	DD	Oxygenation	Treating by saturation with oxygen under increased pressure (hyperbaric) or administering supplemental oxygen to relieve hypoxia. Returning gradually to normal environmental pressure after exposure to greatly increased pressure.	hyperbaric oxygen therapy; 		
2 - Therapeutic	DE	Ventilation	Providing support or assistance in the process of exchange of air within the lungs			
2 - Therapeutic	DF	Perfusion	Passing fluid through the vessels of a specific organ or region			
2 - Therapeutic	DG	Transfusion	Externally introducting blood or its components into the blood stream			
2 - Therapeutic	DH	Fertilisation	"The union of male and female gametes to form a zygote, from which an embryo develops."	Artificial insemination; Fertilisation in vitro; 		
2 - Therapeutic	DK	Application of dressing	Applying various materials to cover or protect a wound.	Application of pressure dressing; Change of dressing; Tamponade; 		
2 - Therapeutic	DL	Insertion of internal device	"Inserting a device into the body that monitors, assists or protects the function, but does not perform the function of the body part"	Insertion of PEG tube; Insertion of temporary pacemaker; Intubation; 	"implantation (DN); insertion of device for drainage, see Drainage (JB) or other specific action"	
2 - Therapeutic	DN	Implantation of internal device	Insert or fix a device into the body that performs the function of the body part	Defibrillator; Internal fixation devices; Joint replacement; Permanent cardiac pacemaker; Valve replacement; 	"external fixation devices, see Set (LC); insertion (DL); replacement of device, see Change of internal device (KA)"	
2 - Therapeutic	DP	Installation of assistive product	Applying an assistive product to a (external) part of the body or environment	Fitting of a device; Fitting of dentures; Fitting an external prosthesis; Fitting of a hearing aid; Fitting a maxillary obturator; Fitting an orthosis; Proprioceptive strapping or taping; 	"brace, cast, external fixation devices, see Set (LC)"	
2 - Therapeutic	FA	Incision	"Making an orifice, linear or window, in a body part"	Fenestration; Trephination; 	division (FB)\ndrainage (JB)\nrelease (FC)	
2 - Therapeutic	FB	Division	Separating a body part into two or more parts without taking out any of the parts	Osteotomy; Spinal cordotomy; 	adhesiolysis (FC)	
2 - Therapeutic	FC	Release	Freeing a body part that is compressed or unable to function without taking out the body part	Adhesiolysis; Carpal tunnel release; Decompression laminectomy; Interrupting/splitting of tissue for release; Lysis of adhesions; 	division of conjoined twins (FB)	
2 - Therapeutic	GA	Destruction	"Altering, breaking down or eradicating a body part, either partially or totally by the use of physical, mechanical, or chemical forces"	"Ablation; Brachytherapy; Cryotherapy for destruction of tissue; Diathermy; Electrocorporation; Electrolysis; Epilation (electrosurgical); ESWL; Fetal reduction; Fragmentation; HIFUS; Laser photocoagulation; Laser therapy, NOS; Lithotripsy; Radiofrequency; Radiotherapy; Sclerotherapy; Thermotherapy; "	chemotherapy (DB); ESWT (SC)	Code also: where radiation is used and it is not applied externally an additional intervention code for the positioning of the radiation source is required
