ICHI code	Title	Index term	Include note	Action flag	Expanded index with include note	Warning	Action flag comments	Original full index terms	Original full include notes			Flag	Delete index term	Review index term									Original Title	Original Expanded index with include note
AAA.AD.AA	Biopsy of brain							Biopsy of choroid plexus; Open biopsy of brain; Open biopsy of brain via osteoplastic craniotomy; Intracranial biopsy NOS; Biopsy of brain via burr hole approach	osteoplastic flap if performed				FALSE	FALSE									Biopsy of brain	
			osteoplastic flap if performed	I	Biopsy of brain with osteoplastic flap if performed								FALSE	FALSE										Biopsy of brain via osteoplastic flap if performed
		Biopsy of choroid plexus		I									FALSE	FALSE										
			osteoplastic flap if performed	I	Biopsy of choroid plexus with osteoplastic flap if performed								FALSE	FALSE										Biopsy of choroid plexus via osteoplastic flap if performed
		Open biopsy of brain		S									FALSE	FALSE										
			osteoplastic flap if performed	I	Open biopsy of brain with osteoplastic flap if performed								FALSE	FALSE										Open biopsy of brain via osteoplastic flap if performed
		Open biopsy of brain via osteoplastic craniotomy		I									FALSE	FALSE										
			osteoplastic flap if performed	D	Open biopsy of brain via osteoplastic craniotomy via osteoplastic flap if performed	Repeated words: [via, osteoplastic]							FALSE	FALSE										Open biopsy of brain via osteoplastic craniotomy via osteoplastic flap if performed
		Intracranial biopsy NOS		S									FALSE	FALSE										
			osteoplastic flap if performed	I	Intracranial biopsy with osteoplastic flap if performed, NOS								FALSE	FALSE										Intracranial biopsy via osteoplastic flap if performed, NOS
		Biopsy of brain via burr hole approach		I									FALSE	FALSE										
			osteoplastic flap if performed	D	Biopsy of brain via burr hole approach via osteoplastic flap if performed	Repeated words: [via]							FALSE	FALSE										Biopsy of brain via burr hole approach via osteoplastic flap if performed
AAA.AI.AE	Percutaneous monitoring of the brain							Brain temperature monitoring; Intracranial oxygen monitoring; Intracranial pressure monitoring	insertion of catheter or probe for monitoring				FALSE	FALSE									Percutaneous monitoring of the brain	
			insertion of catheter or probe for monitoring	I	Percutaneous monitoring of the brain by insertion of catheter or probe	Repeated words: [monitoring]							FALSE	FALSE										Percutaneous monitoring of the brain by insertion of catheter or probe for monitoring
		Brain temperature monitoring		I									FALSE	FALSE										
			insertion of catheter or probe for monitoring	I	Brain temperature monitoring by insertion of catheter or probe 	Repeated words: [monitoring]							FALSE	FALSE										Brain temperature monitoring by insertion of catheter or probe for monitoring
		Intracranial oxygen monitoring		I									FALSE	FALSE										
			insertion of catheter or probe for monitoring	I	Intracranial oxygen monitoring by insertion of catheter or probe	Repeated words: [monitoring]							FALSE	FALSE										Intracranial oxygen monitoring by insertion of catheter or probe for monitoring
		Intracranial pressure monitoring		I									FALSE	FALSE										
			insertion of catheter or probe for monitoring	I	Intracranial pressure monitoring by insertion of catheter or probe 	Repeated words: [monitoring]							FALSE	FALSE										Intracranial pressure monitoring by insertion of catheter or probe for monitoring
AAA.FC.AA	Intracranial release							Hind brain decompression; Intracranial decompression; Posterior fossa decompression; Subtemporal decompression	Intracranial release with duraplasty				FALSE	FALSE									Intracranial release	
			Intracranial release with duraplasty	I	Intracranial release with duraplasty	Repeated words: [Intracranial, release]							FALSE	FALSE										Intracranial release via intracranial release with duraplasty
		Hind brain decompression		I									FALSE	FALSE										
			Intracranial release with duraplasty	I	Hind brain decompression with duraplasty								FALSE	FALSE										Hind brain decompression via intracranial release with duraplasty
		Intracranial decompression		I									FALSE	FALSE										
			Intracranial release with duraplasty	I	Intracranial decompression with duraplasty	Repeated words: [Intracranial]							FALSE	FALSE										Intracranial decompression via intracranial release with duraplasty
		Posterior fossa decompression		I									FALSE	FALSE										
			Intracranial release with duraplasty	I	Posterior fossa decompression with duraplasty								FALSE	FALSE										Posterior fossa decompression via intracranial release with duraplasty
		Subtemporal decompression		I									FALSE	FALSE										
			Intracranial release with duraplasty	I	Subtemporal decompression with duraplasty								FALSE	FALSE										Subtemporal decompression via intracranial release with duraplasty
AAE.JB.AA	Drainage of ventricles of brain							Drainage of CSF from ventricles of brain; Enlargement of aqueduct to unblock occlusion for drainage; Puncture of septum pellucidum for drainage into ventricle; Drainage of ventricles of brain via insertion of drain	insertion of drain				FALSE	FALSE									Drainage of ventricles of brain	
			insertion of drain	I	Drainage of ventricles of brain by insertion of drain								FALSE	FALSE										Drainage of ventricles of brain by insertion of drain
		Drainage of CSF from ventricles of brain		I									FALSE	FALSE										
			insertion of drain	I	Drainage of CSF from ventricles of brain by insertion of drain								FALSE	FALSE										Drainage of CSF from ventricles of brain by insertion of drain
		Enlargement of aqueduct to unblock occlusion for drainage		I									FALSE	FALSE										
			insertion of drain	I	Enlargement of aqueduct to unblock occlusion for drainage by insertion of drain								FALSE	FALSE										Enlargement of aqueduct to unblock occlusion for drainage by insertion of drain
		Puncture of septum pellucidum for drainage into ventricle		I									FALSE	FALSE										
			insertion of drain	I	Puncture of septum pellucidum for drainage into ventricle by insertion of drain								FALSE	FALSE										Puncture of septum pellucidum for drainage into ventricle by insertion of drain
		Drainage of ventricles of brain via insertion of drain		D									TRUE	FALSE										
			insertion of drain	D	Drainage of ventricles of brain via insertion of drain by insertion of drain	Repeated words: [insertion, drain]							TRUE	FALSE										Drainage of ventricles of brain via insertion of drain by insertion of drain
AAN.MK.AA	Repair of cranial nerve							Neurorrhaphy of cranial nerve; Repair of laceration of cranial nerve; Suture of cranial nerves	microsurgical repair				FALSE	FALSE									Repair of cranial nerve	
			microsurgical repair	I	Repair of cranial nerve with microsurgical repair	Repeated words: [Repair]							FALSE	FALSE										Repair of cranial nerve - microsurgical repair
		Neurorrhaphy of cranial nerve		I									FALSE	FALSE										
