1 - Targets for Body Systems and Functions	01 - Nervous System and Mental Function Targets	AA - Brain and Cranial Nerves	AAA	Brain (Encephalon)		Globus pallidus; Intracerebral; Intracranial NOS; Thalamus; 	meninges of brain (AAC); vasculature of brain (IAA); ventricular system of brain (AAE)	
1 - Targets for Body Systems and Functions	01 - Nervous System and Mental Function Targets	AA - Brain and Cranial Nerves	AAC	Intracranial meninges		Cranial sinus; Dura; 		
1 - Targets for Body Systems and Functions	01 - Nervous System and Mental Function Targets	AA - Brain and Cranial Nerves	AAE	Ventricular system of brain		Intracranial cerebrospinal fluid; 		
1 - Targets for Body Systems and Functions	01 - Nervous System and Mental Function Targets	AA - Brain and Cranial Nerves	AAG	Intracranial Space		Subarachnoid space; Subdural space; 		
1 - Targets for Body Systems and Functions	01 - Nervous System and Mental Function Targets	AA - Brain and Cranial Nerves	AAN	Cranial nerve		Facial nerve; Trigeminal nerve; Vagus nerve; 		
1 - Targets for Body Systems and Functions	01 - Nervous System and Mental Function Targets	AB - Spinal cord structures	ABA	Spinal cord			"central canal (ABG)\nvasculature of spinal cord (see location of vessel, e.g. neck (IBA), (IBD); thorax (IDA), (IDB))"	
1 - Targets for Body Systems and Functions	01 - Nervous System and Mental Function Targets	AB - Spinal cord structures	ABC	Spinal meninges		Dura; 		
1 - Targets for Body Systems and Functions	01 - Nervous System and Mental Function Targets	AB - Spinal cord structures	ABG	Spinal cavity		Central canal; Spinal cerebrospinal fluid; 		
1 - Targets for Body Systems and Functions	01 - Nervous System and Mental Function Targets	AB - Spinal cord structures	ABN	Spinal nerve				
1 - Targets for Body Systems and Functions	01 - Nervous System and Mental Function Targets	AC - Peripheral nervous system	ACA	Peripheral nervous system				
1 - Targets for Body Systems and Functions	01 - Nervous System and Mental Function Targets	AD - Sympathetic nervous system	ADA	"Sympathetic nervous system, unspecified"		Adrenal; Periarterial; 	cervical (ADB)\nlumbar (ADD)\nsacral (ADE)\nthoracic (ADC)	
1 - Targets for Body Systems and Functions	01 - Nervous System and Mental Function Targets	AD - Sympathetic nervous system	ADB	"Sympathetic nervous system, cervical"				
1 - Targets for Body Systems and Functions	01 - Nervous System and Mental Function Targets	AD - Sympathetic nervous system	ADC	"Sympathetic nervous system, thoracic"				
1 - Targets for Body Systems and Functions	01 - Nervous System and Mental Function Targets	AD - Sympathetic nervous system	ADD	"Sympathetic nervous system, lumbar"				
1 - Targets for Body Systems and Functions	01 - Nervous System and Mental Function Targets	AD - Sympathetic nervous system	ADE	"Sympathetic nervous system, sacral"				
1 - Targets for Body Systems and Functions	01 - Nervous System and Mental Function Targets	AE - Parasympathetic nervous system	AEA	Parasympathetic nervous system				
1 - Targets for Body Systems and Functions	01 - Nervous System and Mental Function Targets	AS - Mental function	AS1	Mental functions				b1
1 - Targets for Body Systems and Functions	01 - Nervous System and Mental Function Targets	AT - Global mental functions	AT2	Global mental functions				b110-b139
1 - Targets for Body Systems and Functions	01 - Nervous System and Mental Function Targets	AT - Global mental functions	ATC	Awareness and alertness functions				b110
1 - Targets for Body Systems and Functions	01 - Nervous System and Mental Function Targets	AT - Global mental functions	ATD	Orientation functions				b114
1 - Targets for Body Systems and Functions	01 - Nervous System and Mental Function Targets	AT - Global mental functions	ATE	Intellectual functions				b117
1 - Targets for Body Systems and Functions	01 - Nervous System and Mental Function Targets	AT - Global mental functions	ATF	Global psychosocial  functions				b122
1 - Targets for Body Systems and Functions	01 - Nervous System and Mental Function Targets	AT - Global mental functions	ATH	Temperament and personality functions				b126
1 - Targets for Body Systems and Functions	01 - Nervous System and Mental Function Targets	AT - Global mental functions	ATI	Energy and drive functions				b130
1 - Targets for Body Systems and Functions	01 - Nervous System and Mental Function Targets	AT - Global mental functions	ATK	Sleep functions				b134
1 - Targets for Body Systems and Functions	01 - Nervous System and Mental Function Targets	AU - Specific mental functions	AU2	Specific mental functions				b140-b189
1 - Targets for Body Systems and Functions	01 - Nervous System and Mental Function Targets	AU - Specific mental functions	AUA	Attention functions				b140
1 - Targets for Body Systems and Functions	01 - Nervous System and Mental Function Targets	AU - Specific mental functions	AUB	Memory functions				b144
1 - Targets for Body Systems and Functions	01 - Nervous System and Mental Function Targets	AU - Specific mental functions	AUC	Psychomotor functions				b147
1 - Targets for Body Systems and Functions	01 - Nervous System and Mental Function Targets	AU - Specific mental functions	AUD	Emotional functions				b152
1 - Targets for Body Systems and Functions	01 - Nervous System and Mental Function Targets	AU - Specific mental functions	AUE	Perceptual functions				b156
1 - Targets for Body Systems and Functions	01 - Nervous System and Mental Function Targets	AU - Specific mental functions	AUF	Thought  functions				b160
1 - Targets for Body Systems and Functions	01 - Nervous System and Mental Function Targets	AU - Specific mental functions	AUH	Higher-level cognitive functions				b164
1 - Targets for Body Systems and Functions	01 - Nervous System and Mental Function Targets	AU - Specific mental functions	AUI	Mental functions of language				b167
1 - Targets for Body Systems and Functions	01 - Nervous System and Mental Function Targets	AU - Specific mental functions	AUJ	Calculation functions				b172
1 - Targets for Body Systems and Functions	01 - Nervous System and Mental Function Targets	AU - Specific mental functions	AUK	Mental functions of sequencing complex movements				b176
1 - Targets for Body Systems and Functions	01 - Nervous System and Mental Function Targets	AU - Specific mental functions	AUL	Experience of self and time functions		Representation and awareness of one's body; 		b180
1 - Targets for Body Systems and Functions	01 - Nervous System and Mental Function Targets	AV - Sensory function and Pain	AV1	Sensory functions and pain				b210-b298
1 - Targets for Body Systems and Functions	01 - Nervous System and Mental Function Targets	AV - Sensory function and Pain	AV2	Additional sensory functions				b250-b279
