"Additional descriptive information"			"Additional descriptive information"				
"Additional descriptive information"	"Additional descriptive information"	XB01	Initiating/maintaining/discontinuing/resuming	"Qualifies the role of the professional in relation to delivery of the intervention"			
"Additional descriptive information"	XB01	XB01.0	Initiating	"Initiating an intervention"			
"Additional descriptive information"	XB01	XB01.1	Maintaining	"Maintaining or managing an ongoing intervention"			
"Additional descriptive information"	XB01	XB01.2	Discontinuing	"Discontinuing an intervention"			
"Additional descriptive information"	XB01	XB01.3	Resuming	"Resuming an intervention"			
"Additional descriptive information"	"Additional descriptive information"	XB02	"Relationship to other intervention(s)"	"Qualifies the intervention in relation to other intervention(s)"			
"Additional descriptive information"	XB02	XB02.0	Incidental	"Unplanned intervention incidental to another "			
"Additional descriptive information"	XB02	XB02.1	Simultaneous	"Planned interventions performed during the same operative episode"			
"Additional descriptive information"	XB02	XB02.2	"Laparoscopic converted to open "	"Intervention started as laparoscopic approach then converted to an open approach"			
"Additional descriptive information"	XB02	XB02.3	"Endoscopic (per orifice) converted to open"	"Intervention started as endoscopic approach then converted to an open approach"			
"Additional descriptive information"	XB02	XB02.4	Re-operation	"An intervention performed through the incision site of an earlier intervention"		"when a 're-operation' is performed to 'revise' the primary operation, see Revision (XB02.5) "	
"Additional descriptive information"	XB02	XB02.5	"Revision "	"An intervention performed to revise the original intervention"			
"Additional descriptive information"	XB02	XB02.7	"Staged "	"An intervention defined by the clinician as being part of a multi-stage process which is performed over different episodes of care"			"e.g. epispadias staged repair"
"Additional descriptive information"	XB02	XB02.8	"Failed instrumental delivery"	"A failed instrumental delivery is when forceps application or a vacuum extractor is attempted but delivery is not achieved and alternative methods are required to complete delivery."			
"Additional descriptive information"	XB02	XB02.9	"Repeated over time"	"Planned periodic repetition of an intervention"			"For capturing 'monitoring' other than intensive medical monitoring covered by AI codes"
"Additional descriptive information"	"Additional descriptive information"	XB03	Unplanned				
"Additional descriptive information"	XB03	XB03.0	"Unplanned intervention"	"Intervention not planned in advance or performed as an emergency"			"e.g. emergency caesarean section"
"Additional descriptive information"	"Additional descriptive information"	XB05	"Standardisation or structure"				
"Additional descriptive information"	XB05	XB05.0	Standardised	"Adhering to the standard"			
"Additional descriptive information"	XB05	XB05.1	"Non standardised"	"Varying from or not adhering to the standard"			
"Additional descriptive information"	XB05	XB05.2	Structured	"A structured approach of treatment "			
"Additional descriptive information"	XB05	XB05.3	Unstructured	"Lacking a definite structure or organization; not formally organised or systematised"			
"Additional descriptive information"	"Additional descriptive information"	XB06	"Use of equipment or challenge"				
"Additional descriptive information"	XB06	XB06.0	"With equipment"	"Intervention performed with the use of equipment."	"stretch intervention conducted using weights; "	"image guidance (XB06.3); robotic assistance (XB06.1)"	
"Additional descriptive information"	XB06	XB06.1	"With robotic assistance"	"Robotic-assisted interventions involve use of very small instruments attached to a robotic arm and controlled, during an intervention, by a clinician through a computer console"			
"Additional descriptive information"	XB06	XB06.2	"With challenge"	"Determining the response to a system under exposure"			"For use with AC 'Test' interventions - e.g., exercise ECG "
"Additional descriptive information"	XB06	XB06.3	"With image guidance"		"Computerised tomograghy; CT; Fluroscopy; Magnetic resonance imaging; MRI; Ultrasound; "		
"Additional descriptive information"	"Additional descriptive information"	XB07	"Enabling factors for behaviour change"				"Assigned to capture information about the mechanism by which the intervention is intended to bring about change in a health-related behaviour"
"Additional descriptive information"	XB07	XB07.0	Capability	"Intervention addressing the psychological and physical capacity required to engage in a behaviour"			
"Additional descriptive information"	XB07	XB07.1	Opportunity	"Intervention addressing the social or physical factors that affect how easy or difficult it is to engage in a behaviour"			
"Additional descriptive information"	XB07	XB07.2	Motivation	"Intervention addressing the automatic or reflective mental processes that energise and direct behaviour"			
"Additional descriptive information"	"Additional descriptive information"	XB08	Client/Recipient				"Assigned to describe the client or recipient 'unit' to which the intervention is delivered"
"Additional descriptive information"	XB08	XB08.0	"Person/patient – individual"				"Intervention delivered to an individual person whose health or functioning is the focus of the intervention"
"Additional descriptive information"	XB08	XB08.1	"Person/patient – group"	"Intervention delivered to a group of people whose health or functioning is the focus of the intervention"			"Assigned when the intervention addresses recipients primarily in their role as family members"
